Code,Dataset,BIOME,Species,GF,Decid/E'green,Needle/Broad lf,C3C4,N2-fixer,log LL,log LMA,log Nmass,log Narea,log Pmass,log Parea,log Amass,log Aarea,log Gs,log Rdmass,log Rdarea,Ca - Ci,,,,
250,Bongers_et_al_Los_Tuxtlas,TROP_RF,Oreopanax obtusifolius,EP,E,,,N,,2.12,,,-1.113,-0.989,,,,,,,,,,
252,Bongers_et_al_Los_Tuxtlas,TROP_RF,Orthion oblanceolatum,T,E,,,N,,1.84,0.202,0.043,-0.745,-0.904,,,,,,,,,,
267,Bongers_et_al_Los_Tuxtlas,TROP_RF,Piper amalago,T,E,B,C3,N,,1.82,0.327,0.144,-0.852,-1.036,,,,,,,,,,
268,Bongers_et_al_Los_Tuxtlas,TROP_RF,Piper auritum,S,E,B,C3,N,,1.57,0.508,0.080,-0.664,-1.091,,,,,,,,,,
269,Bongers_et_al_Los_Tuxtlas,TROP_RF,Piper hispidum,S,E,B,C3,N,,1.81,0.362,0.173,-0.755,-0.944,,,,,,,,,,
273,Bongers_et_al_Los_Tuxtlas,TROP_RF,Pleuranthodendron lindenii,T,E,,,N,,2.00,0.143,0.139,-0.913,-0.917,,,,,,,,,,
276,Bongers_et_al_Los_Tuxtlas,TROP_RF,Poulsenia armata,T,D,,,N,,2.07,0.223,0.297,-0.695,-0.621,,,,,,,,,,
278,Bongers_et_al_Los_Tuxtlas,TROP_RF,Pouteria durlandii,T,E,,,N,,2.11,0.201,0.314,-1.158,-1.044,,,,,,,,,,
279,Bongers_et_al_Los_Tuxtlas,TROP_RF,Pouteria rhynchocarpa,T,E,,,N,,1.96,0.029,-0.009,-1.149,-1.187,,,,,,,,,,
283,Bongers_et_al_Los_Tuxtlas,TROP_RF,Pseudolmedia oxyphyllaria,T,E,,,N,,1.94,0.015,-0.049,-1.165,-1.229,,,,,,,,,,
286,Bongers_et_al_Los_Tuxtlas,TROP_RF,Psychotria chiapensis,T,E,,,N,,1.73,0.253,-0.017,-0.984,-1.253,,,,,,,,,,
287,Bongers_et_al_Los_Tuxtlas,TROP_RF,Psychotria faxlucens,T,E,,,N,,1.74,0.140,-0.117,-1.184,-1.441,,,,,,,,,,
288,Bongers_et_al_Los_Tuxtlas,TROP_RF,Psychotria flava,T,E,,,N,,2.04,0.038,0.081,-1.160,-1.117,,,,,,,,,,
292,Bongers_et_al_Los_Tuxtlas,TROP_RF,Psychotria simiarum,T,E,,,N,,1.62,0.206,-0.169,-1.157,-1.533,,,,,,,,,,
293,Bongers_et_al_Los_Tuxtlas,TROP_RF,Pterocarpus rohrii,T,D,,,Y,,1.98,0.272,0.255,-0.761,-0.778,,,,,,,,,,
295,Bongers_et_al_Los_Tuxtlas,TROP_RF,Quararibea yunckeri,T,E,,,N,,1.77,0.129,-0.100,-0.795,-1.023,,,,,,,,,,
301,Bongers_et_al_Los_Tuxtlas,TROP_RF,Garcinia intermedia,T,E,,,N,,2.14,-0.123,0.016,-1.105,-0.967,,,,,,,,,,
304,Bongers_et_al_Los_Tuxtlas,TROP_RF,Robinsonella mirandae,T,E,,,N,,1.78,0.290,0.069,-0.743,-0.964,,,,,,,,,,
311,Bongers_et_al_Los_Tuxtlas,TROP_RF,Salacia megistophylla,V,E,,,N,,2.19,,,-0.914,-0.727,,,,,,,,,,
330,Bongers_et_al_Los_Tuxtlas,TROP_RF,Spondias radlkoferi,T,D,,,N,,1.86,0.152,0.012,-0.950,-1.090,,,,,,,,,,
331,Bongers_et_al_Los_Tuxtlas,TROP_RF,Stemmadenia donnell-smithii,T,E,,,N,,1.73,0.351,0.076,-0.921,-1.196,,,,,,,,,,
345,Bongers_et_al_Los_Tuxtlas,TROP_RF,Trema micrantha,T,E,,,N,,1.76,0.360,0.120,-0.821,-1.061,,,,,,,,,,
347,Bongers_et_al_Los_Tuxtlas,TROP_RF,Trichilia martiana,T,E,,,N,,1.79,0.336,0.122,-0.753,-0.967,,,,,,,,,,
349,Bongers_et_al_Los_Tuxtlas,TROP_RF,Trichospermum mexicanum,T,E,,,N,,1.98,0.257,0.238,-0.956,-0.975,,,,,,,,,,
352,Bongers_et_al_Los_Tuxtlas,TROP_RF,Trophis mexicana,T,E,,,N,,1.81,0.227,0.033,-0.943,-1.136,,,,,,,,,,
353,Bongers_et_al_Los_Tuxtlas,TROP_RF,Turpinia occidentalis,T,E,,,N,,1.91,0.048,-0.043,-1.121,-1.213,,,,,,,,,,
355,Bongers_et_al_Los_Tuxtlas,TROP_RF,Urera caracasana,S,E,B,,N,,1.76,0.452,0.207,-0.678,-0.923,,,,,,,,,,
357,Bongers_et_al_Los_Tuxtlas,TROP_RF,Urera elata,S,E,,,N,,1.60,0.137,-0.261,-0.985,-1.383,,,,,,,,,,
358,Bongers_et_al_Los_Tuxtlas,TROP_RF,Vatairea lundellii,T,E,,,Y,,1.93,0.191,0.124,-1.120,-1.188,,,,,,,,,,
360,Bongers_et_al_Los_Tuxtlas,TROP_RF,Vochysia guatemalensis,T,E,,,N,,2.05,0.025,0.076,-1.128,-1.077,,,,,,,,,,
364,Bongers_et_al_Los_Tuxtlas,TROP_RF,Zanthoxylum kellermanii,T,D,,,N,,1.82,0.319,0.136,-0.658,-0.840,,,,,,,,,,
365,Cavendar_Bares_Florida,TEMP_FOR,Quercus falcata,T,D,B,C3,N,0.92,2.12,0.167,0.291,,,2.08,1.22,,,,,,,,
366,Cavendar_Bares_Florida,TEMP_FOR,Quercus hemispherica,T,E,B,C3,N,0.96,2.13,0.083,0.217,,,1.97,1.10,,,,,,,,
367,Cavendar_Bares_Florida,TEMP_FOR,Quercus incana,T,E,B,C3,N,0.75,2.03,-0.022,0.011,,,2.14,1.16,,,,,,,,
368,Cavendar_Bares_Florida,TEMP_FOR,Quercus laurifolia,T,E,B,C3,N,0.88,2.10,0.121,0.223,,,2.02,1.13,,,,,,,,
369,Cavendar_Bares_Florida,TEMP_FOR,Quercus laevis,T,D,B,C3,N,0.93,2.04,0.185,0.221,,,2.10,1.13,,,,,,,,
370,Cavendar_Bares_Florida,TEMP_FOR,Quercus myrtifolia,T,E,B,C3,N,1.09,2.10,0.009,0.113,,,1.74,0.93,,,,,,,,
371,Cavendar_Bares_Florida,TEMP_FOR,Quercus nigra,T,E,B,C3,N,0.94,2.11,0.111,0.221,,,2.06,1.13,,,,,,,,
372,Cavendar_Bares_Florida,TEMP_FOR,Quercus shumardii,T,D,B,C3,N,0.92,1.99,0.225,0.219,,,2.18,1.18,,,,,,,,
373,Cavendar_Bares_Florida,TEMP_FOR,Quercus pumila,T,E,B,C3,N,0.84,2.08,0.004,0.085,,,2.04,1.18,,,,,,,,
374,Cavendar_Bares_Florida,TEMP_FOR,Quercus stellata,T,D,B,C3,N,0.90,2.15,0.238,0.390,,,2.09,1.24,,,,,,,,
375,Cavendar_Bares_Florida,TEMP_FOR,Quercus margaretta,T,D,B,C3,N,0.88,2.04,0.204,0.249,,,2.18,1.24,,,,,,,,
